Year;Annual rate of change;Output gap;Rente
1992;2,1;-2,332;13
1993;1,3;-4,22;6,75
1994;2;-1,329;5,5
1995;2,1;-0,696;4,6
1996;2,1;-0,205;3,5
1997;2,2;0,554;3,75
1998;1,8;0,323;3,95
1999;2,5;1,043;3,3
2000;2,9;2,709;5,4
2001;2,4;1,623;3,6
2002;2,4;0,387;2,95
2003;2,1;-0,636;2,15
2004;1,2;0,698;2,15
2005;1,8;1,793;2,4
2006;1,9;4,409;3,75
2007;1,7;4,05;4,25
2008;3,4;2,319;3,75
2009;1,3;-3,548;1,2
2010;2,3;-2,454;1,05
2011;2,8;-1,893;0,7
2012;2,4;-2,541;0,2
2013;0,8;-2,67;0,2
2014;0,6;-2,191;0,2
2015;0,5;-1,805;0,05
2016;0,3;-1,716;0,05
